avg_ProductionGe100MW,1,0.662,0.015,-0.253,-0.517,0.136,-0.749,0.071,0.37,0.811,0.199,-0.482,-0.212,0.122,0.39,0.003,-0.114,0.205
avg_ProductionLt100MW,0.662,1,-0.159,-0.022,-0.377,0.093,-0.505,-0.071,0.186,0.615,0.32,-0.225,-0.224,0.146,0.171,0.008,-0.148,0.07
avg_SolarPower,0.015,-0.159,1,-0.125,-0.094,-0.123,-0.008,0.054,-0.213,0.003,-0.12,-0.002,0.199,-0.162,0.026,-0.069,-0.015,-0.173
avg_OffshoreWindPower,-0.253,-0.022,-0.125,1,0.697,-0.815,0.203,-0.619,-0.705,-0.216,0.064,0.323,-0.461,0.004,-0.385,-0.114,-0.052,-0.793
avg_OnshoreWindPower,-0.517,-0.377,-0.094,0.697,1,-0.786,0.329,-0.545,-0.66,-0.482,-0.054,0.372,-0.292,0.037,-0.424,-0.121,0.028,-0.679
avg_Exchange_Sum,0.136,0.093,-0.123,-0.815,-0.786,1,0.049,0.65,0.702,0.131,-0.132,-0.249,0.602,-0.181,0.336,0.145,0.064,0.835
avg_Exchange_DK1_DE,-0.749,-0.505,-0.008,0.203,0.329,0.049,1,-0.048,-0.401,-0.82,-0.351,0.427,0.411,-0.425,-0.379,0.028,0.134,-0.034
avg_Exchange_DK1_NL,0.071,-0.071,0.054,-0.619,-0.545,0.65,-0.048,1,0.488,-0.025,-0.227,-0.239,0.376,-0.166,0.183,0.095,0.108,0.668
avg_Exchange_DK1_GB,0.37,0.186,-0.213,-0.705,-0.66,0.702,-0.401,0.488,1,0.28,-0.128,-0.469,0.258,-0.037,0.439,0.093,0.077,0.708
avg_Exchange_DK1_NO,0.811,0.615,0.003,-0.216,-0.482,0.131,-0.82,-0.025,0.28,1,0.229,-0.499,-0.276,0.233,0.386,0.005,-0.145,0.085
avg_Exchange_DK1_SE,0.199,0.32,-0.12,0.064,-0.054,-0.132,-0.351,-0.227,-0.128,0.229,1,0.018,-0.457,0.476,0.008,-0.021,-0.218,-0.196
avg_Exchange_DK1_DK2,-0.482,-0.225,-0.002,0.323,0.372,-0.249,0.427,-0.239,-0.469,-0.499,0.018,1,0.155,0.089,-0.446,-0.021,-0.021,-0.306
avg_Exchange_DK2_DE,-0.212,-0.224,0.199,-0.461,-0.292,0.602,0.411,0.376,0.258,-0.276,-0.457,0.155,1,-0.66,0.115,0.089,0.165,0.468
avg_Exchange_DK2_SE,0.122,0.146,-0.162,0.004,0.037,-0.181,-0.425,-0.166,-0.037,0.233,0.476,0.089,-0.66,1,0.041,-0.045,-0.191,-0.129
avg_Exchange_Bornholm_SE,0.39,0.171,0.026,-0.385,-0.424,0.336,-0.379,0.183,0.439,0.386,0.008,-0.446,0.115,0.041,1,-0.002,-0.255,0.292
avg_aFRR_ActivatedDK1,0.003,0.008,-0.069,-0.114,-0.121,0.145,0.028,0.095,0.093,0.005,-0.021,-0.021,0.089,-0.045,-0.002,1,0.076,0.127
avg_aFRR_ActivatedDK2,-0.114,-0.148,-0.015,-0.052,0.028,0.064,0.134,0.108,0.077,-0.145,-0.218,-0.021,0.165,-0.191,-0.255,0.076,1,0.102
TargetCO2,0.205,0.07,-0.173,-0.793,-0.679,0.835,-0.034,0.668,0.708,0.085,-0.196,-0.306,0.468,-0.129,0.292,0.127,0.102,1
